Name,City,State,EIN,Tax Year,Tax Period End,Form Type Filed,Contributions,Investment Income,Program Service Revenue,Total Revenue,Total Expenses,Total Assets,Total Liabilities,Net Assets
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2016,201606,0,9547886,1390535,89475,11056928,10364758,28829197,429864,28399333
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2015,201506,0,16019464,864435,95306,17132485,9245485,30221213,375347,29845866
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2014,201406,0,13044718,495990,28000,13637091,7051132,22879571,370841,22508730
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2013,201306,0,9532856,141258,33512,9444822,5329428,15710071,320606,15389465
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2012,201206,0,7900527,101688,263284,7863584,4526793,11088212,178192,10910020
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2011,201106,0,5305580,107550,143350,5536559,3850406,7910257,216794,7693463
The Freebsd Foundation,Boulder,CO,841545163,2022,202212,0,1231096,77162,0,1005053,1280936,5332223,51594,5280629
The Freebsd Foundation,Boulder,CO,841545163,2021,202112,0,1221207,70499,0,1422525,1369446,5820163,1795,5818368
The Freebsd Foundation,Boulder,CO,841545163,2020,202012,0,1244504,64145,0,1466235,1174561,5768248,2959,5765289
The Freebsd Foundation,Boulder,CO,841545163,2019,201912,0,2267428,61335,0,2395212,1092042,5484328,10713,5473615
The Freebsd Foundation,Boulder,CO,841545163,2018,201812,0,1321191,53000,9931,1466794,867779,4170445,0,4170445
The Freebsd Foundation,Boulder,CO,841545163,2017,201712,0,1026136,43434,13768,1101562,993701,3530060,22745,3507315
The Freebsd Foundation,Boulder,CO,841545163,2016,201612,0,1546365,48178,15456,1568630,921912,3402257,2803,3399454
The Freebsd Foundation,Boulder,CO,841545163,2015,201512,0,674849,67761,12613,742526,1030063,2754771,2035,2752736
The Freebsd Foundation,Boulder,CO,841545163,2014,201412,0,2320445,35315,10850,2366610,824416,3140765,100492,3040273
The Freebsd Foundation,Boulder,CO,841545163,2013,201312,0,758948,20299,0,787873,655954,1511451,13372,1498079
The Freebsd Foundation,Boulder,CO,841545163,2012,201212,0,771194,16161,0,788009,351450,1366160,0,1366160
The Freebsd Foundation,Boulder,CO,841545163,2011,201112,0,430669,110,0,431379,288045,929601,0,929601
Free Software Foundation Inc,Boston,MA,42888848,2022,202209,0,1368407,6083,0,1352816,1580673,2363877,86590,2277287
Free Software Foundation Inc,Boston,MA,42888848,2021,202109,0,1299489,0,0,1339791,1689718,2638303,523716,2114587
Free Software Foundation Inc,Boston,MA,42888848,2020,202009,0,1058798,31984,629,1149602,1809358,2765455,300941,2464514
Free Software Foundation Inc,Boston,MA,42888848,2019,201909,0,2091019,21138,1700,2183470,1687523,3212860,141358,3071502
Free Software Foundation Inc,Boston,MA,42888848,2018,201809,0,2711515,6357,552,2628996,1446566,2646904,103579,2543325
Free Software Foundation Inc,Boston,MA,42888848,2017,201709,0,1294697,5630,15039,1373574,1233394,1496415,122770,1373645
Free Software Foundation Inc,Boston,MA,42888848,2016,201609,0,1211776,5190,4372,1294906,1277758,1380101,131737,1248364
Free Software Foundation Inc,Boston,MA,42888848,2015,201509,0,1113423,1343,8025,1194286,1207980,1289058,97579,1191479
Free Software Foundation Inc,Boston,MA,42888848,2014,201409,0,1110148,669,3902,1188318,1136393,1308841,83080,1225761
Free Software Foundation Inc,Boston,MA,42888848,2013,201309,0,1169276,464,7460,1250498,1199333,1282313,79240,1203073
Free Software Foundation Inc,Boston,MA,42888848,2012,201209,0,972141,10352,550,1310034,947414,1324203,73140,1251063
Free Software Foundation Inc,Boston,MA,42888848,2011,201109,0,842361,11210,0,898804,946297,1178214,27748,1150466
Gnome Foundation Inc,Orinda,CA,43572618,2022,202209,0,362016,307,0,363380,677474,909107,0,909107
Gnome Foundation Inc,Orinda,CA,43572618,2021,202109,0,292330,1846,1476,298297,850347,1316598,5522,1311076
Gnome Foundation Inc,Orinda,CA,43572618,2020,202009,0,953979,6194,0,967204,828421,1884935,27869,1857066
Gnome Foundation Inc,Orinda,CA,43572618,2019,201909,0,835690,20543,19040,876871,638267,1719877,1594,1718283
Gnome Foundation Inc,Orinda,CA,43572618,2018,201809,0,1173767,696,15112,1194331,388108,1479679,0,1479679
Gnome Foundation Inc,Orinda,CA,43572618,2017,201709,0,181960,401,109265,291955,329955,673456,0,673456
Gnome Foundation Inc,Orinda,CA,43572618,2016,201609,0,153063,418,73555,227036,193894,711456,0,711456
Gnome Foundation Inc,Orinda,CA,43572618,2015,201509,0,510264,439,156217,667370,499322,678315,0,678315
Gnome Foundation Inc,Orinda,CA,43572618,2014,201409,0,690077,4,212316,902046,902682,512589,0,512589
Gnome Foundation Inc,Orinda,CA,43572618,2013,201309,0,371389,86,201035,572749,597650,512847,0,512847
Gnome Foundation Inc,Orinda,CA,43572618,2012,201209,0,56201,751,383426,440492,386192,536777,0,536777
Gnome Foundation Inc,Orinda,CA,43572618,2011,201109,0,35405,163,351719,388180,502624,481145,0,481145
Haskell Org Inc,New York City,NY,475236502,2022,202212,0,281014,0,0,281014,350877,292140,24,292116
Haskell Org Inc,New York City,NY,475236502,2021,202112,0,361581,0,0,361581,346626,362014,36,361978
Haskell Org Inc,New York City,NY,475236502,2020,202012,0,251264,0,0,251264,14500,347041,18,347023
Haskell Org Inc,New York City,NY,475236502,2019,201912,1,25832,0,0,25832,11141,111129,21,111108
Haskell Org Inc,New York City,NY,475236502,2018,201812,1,106128,0,0,106128,29722,96417,0,96417
Identity Commons Inc,Arlington,MA,261643504,2016,201612,0,8350,0,0,8350,6993,73458,0,73458
Identity Commons Inc,Arlington,MA,261643504,2015,201512,0,4650,0,0,4650,8666,72101,0,72101
Identity Commons Inc,Arlington,MA,261643504,2014,201412,0,80496,0,0,80496,8368,76626,509,76117
Identity Commons Inc,Arlington,MA,261643504,2013,201312,0,40102,0,0,40102,44637,4089,149,3940
Identity Commons Inc,Arlington,MA,261643504,2012,201212,0,62063,0,0,62063,62023,8863,388,8475
Identity Commons Inc,Arlington,MA,261643504,2011,201112,0,15846,0,0,15846,11609,8863,428,8435
Internet Systems Consortium Inc,Newmarket,NH,200141248,2022,202212,0,131193,4484,0,135677,672657,864738,0,864738
Internet Systems Consortium Inc,Newmarket,NH,200141248,2021,202112,0,141214,82,204800,346096,45032,1401718,0,1401718
Internet Systems Consortium Inc,Newmarket,NH,200141248,2020,202012,0,53747,494,0,54241,559963,1100654,0,1100654
Internet Systems Consortium Inc,Newmarket,NH,200141248,2019,201912,0,174610,1809,0,176419,89163,1615821,9445,1606376
Internet Systems Consortium Inc,Newmarket,NH,200141248,2018,201812,0,114897,0,241761,357016,357016,1933268,4913852,-2980584
Internet Systems Consortium Inc,Newmarket,NH,200141248,2017,201712,0,114898,0,241761,357017,1144893,1933268,4913852,-2980584
Internet Systems Consortium Inc,Newmarket,NH,200141248,2016,201612,0,123905,0,51461,175248,839865,2460069,3279200,-819131
Internet Systems Consortium Inc,Newmarket,NH,200141248,2015,201512,0,123905,0,51461,175248,839865,2460069,3279200,-819131
Internet Systems Consortium Inc,Newmarket,NH,200141248,2014,201412,0,12552,0,197163,209715,1276722,3076416,2369929,706487
Internet Systems Consortium Inc,Newmarket,NH,200141248,2013,201312,0,249420,0,2370732,5715888,5862551,4072146,2298369,1773777
Internet Systems Consortium Inc,Newmarket,NH,200141248,2012,201212,0,4004605,0,2514407,6519012,4903714,4965339,3044899,1920440
Internet Systems Consortium Inc,Newmarket,NH,200141248,2011,201112,0,2262280,459,1102996,3365735,3896737,3743647,3438505,305142
Kuali Foundation Inc,Bloomington,IN,205118023,2022,202206,0,0,3014,2152778,2155792,4117415,776912,8856,768056
Kuali Foundation Inc,Bloomington,IN,205118023,2021,202106,0,102500,1702,2139520,4499882,4758344,3569859,840180,2729679
Kuali Foundation Inc,Bloomington,IN,205118023,2020,202006,0,410000,3338,3327608,3740946,3402108,3256435,268294,2988141
Kuali Foundation Inc,Bloomington,IN,205118023,2019,201906,0,420000,3942,5504117,5928059,5335425,2973370,324066,2649304
Kuali Foundation Inc,Bloomington,IN,205118023,2018,201806,0,470208,2835,1329605,1802648,9129096,6565684,837155,5728529
Kuali Foundation Inc,Bloomington,IN,205118023,2017,201706,0,572292,3040,16491776,17067108,9310522,14985765,1042430,13943335
Kuali Foundation Inc,Bloomington,IN,205118023,2016,201606,0,788958,3966,4890558,5683482,9949385,6172306,974258,5198048
Kuali Foundation Inc,Bloomington,IN,205118023,2015,201506,0,1125441,22443,13745427,14893311,23909217,10837836,1424793,9413043
Kuali Foundation Inc,Bloomington,IN,205118023,2014,201406,0,1352190,12073,7858515,9222778,11166980,25949241,1495915,24453326
Kuali Foundation Inc,Bloomington,IN,205118023,2013,201306,0,1298967,8634,12014200,13321801,9730197,27848800,1493317,26355483
Kuali Foundation Inc,Bloomington,IN,205118023,2012,201206,0,1128758,11361,8510179,9650298,11257471,19246437,1651122,17595315
Kuali Foundation Inc,Bloomington,IN,205118023,2011,201106,0,875625,16113,6341867,7233605,8365698,23959434,1382477,22576957
The Linux Foundation,San Francisco,CA,460503801,2022,202212,0,0,561424,176561235,177124787,160082276,172988189,59388122,113600067
The Linux Foundation,San Francisco,CA,460503801,2021,202112,0,0,494956,139476668,139974266,113740753,142044874,43564615,98480259
The Linux Foundation,San Francisco,CA,460503801,2020,202012,0,0,470593,105955154,106429200,95550838,108874172,36685862,72188310
The Linux Foundation,San Francisco,CA,460503801,2019,201912,0,0,389768,124150298,124492699,111490264,89518144,30685216,58832928
The Linux Foundation,San Francisco,CA,460503801,2018,201812,0,0,296884,96282636,96582653,97314914,71057383,25613108,45444275
The Linux Foundation,San Francisco,CA,460503801,2017,201712,0,0,166390,81445946,81616265,68997604,62264124,15934338,46329786
The Linux Foundation,San Francisco,CA,460503801,2016,201612,0,0,117563,60908388,61085552,51733209,39714654,11078045,28636609
The Linux Foundation,San Francisco,CA,460503801,2015,201512,0,0,73463,39124588,39283385,35564166,27690067,8074805,19615262
The Linux Foundation,San Francisco,CA,460503801,2014,201412,0,0,26788,31406017,31452792,29315659,20915947,5271693,15644254
The Linux Foundation,San Francisco,CA,460503801,2013,201312,0,0,26331,23076555,23119066,19645584,22819349,9256154,13563195
The Linux Foundation,San Francisco,CA,460503801,2012,201212,0,8255747,22566,8781221,17123662,16195531,14731225,4579960,10151265
The Linux Foundation,San Francisco,CA,460503801,2011,201112,0,7953348,25101,7562767,15616473,11995352,11367717,2100580,9267137
Lf Charities Inc,San Francisco,CA,841730246,2022,202212,0,500000,0,0,500000,500000,500000,500000,0
Lf Charities Inc,San Francisco,CA,841730246,2021,202112,1,0,0,0,0,0,1,0,0
Lf Charities Inc,San Francisco,CA,841730246,2020,202012,1,0,0,0,0,0,1,0,0
Lf Charities Inc,San Francisco,CA,841730246,2019,201912,1,0,0,0,0,0,1,0,0
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Linux Kernel Organization,San Francisco,CA,"ERROR: flatten_filing_common([""Linux Kernel Organization"", ""San Francisco"", ""CA""]) formtype 2) not supported.",,,,,,,,,,,
Llvm Foundation,Los Altos Hls,CA,471136085,2022,202212,0,570255,407,234396,806268,717737,1171871,23566,1148305
Llvm Foundation,Los Altos Hls,CA,471136085,2021,202112,0,335276,28,21093,356397,252283,1066727,6953,1059774
Llvm Foundation,Los Altos Hls,CA,471136085,2020,202012,0,490742,141,21299,512586,266820,964197,8537,955660
Llvm Foundation,Los Altos Hls,CA,471136085,2019,201912,0,568383,279,287057,855719,803202,718237,8343,709894
Llvm Foundation,Los Altos Hls,CA,471136085,2018,201812,0,376847,159,210026,588090,629837,660148,2771,657377
Llvm Foundation,Los Altos Hls,CA,471136085,2017,201712,0,490666,90,149643,640399,486463,709125,10001,699124
Llvm Foundation,Los Altos Hls,CA,471136085,2016,201612,0,523916,48,131521,655485,371646,554960,9772,545188
Llvm Foundation,Los Altos Hls,CA,471136085,2015,201512,0,331360,21,88000,419381,282368,261530,181,261349
Llvm Foundation,Los Altos Hls,CA,471136085,2014,201412,0,225100,0,33074,258174,133838,124336,0,124336
Mozilla Foundation,San Francisco,CA,200097189,2022,202212,0,9075862,20900277,19762179,49747841,30290560,95584687,6220245,89364442
Mozilla Foundation,San Francisco,CA,200097189,2021,202112,0,9931949,532734,20231848,30686124,23340264,76964143,2500814,74463329
Mozilla Foundation,San Francisco,CA,200097189,2020,202012,0,9564873,457113,16500194,26523745,18160777,66895760,2443080,64452680
Mozilla Foundation,San Francisco,CA,200097189,2019,201912,0,11713240,659885,15930548,28388184,21889786,55587834,2176198,53411636
Mozilla Foundation,San Francisco,CA,200097189,2018,201812,0,13991926,390654,13148125,27531742,23276272,46429229,2588395,43840834
Mozilla Foundation,San Francisco,CA,200097189,2017,201712,0,9841565,458546,10193707,20586446,24206401,33419850,3145473,30274377
Mozilla Foundation,San Francisco,CA,200097189,2016,201612,0,12455200,353181,8493431,21346401,21293197,34645899,2744162,31901737
Mozilla Foundation,San Francisco,CA,200097189,2015,201512,0,12429238,445798,6519514,19458887,15267138,33009293,1985709,31023584
Mozilla Foundation,San Francisco,CA,200097189,2014,201412,0,12570258,437665,6275937,19309416,15855574,29010007,1546301,27463706
Mozilla Foundation,San Francisco,CA,200097189,2013,201312,0,6909597,446218,6129936,13493744,13728023,25144149,1290644,23853505
Mozilla Foundation,San Francisco,CA,200097189,2012,201212,0,5805972,524216,2719942,9046361,9822851,25377720,1373997,24003723
Mozilla Foundation,San Francisco,CA,200097189,2011,201112,0,3323273,596550,31602,3954108,5391119,26187098,2407937,23779161
Netbsd Foundation,New York,NY,134134071,2022,202212,1,44724,0,0,44838,15850,262924,0,262924
Netbsd Foundation,New York,NY,134134071,2021,202112,1,52279,0,0,52279,19209,233936,0,233936
Netbsd Foundation,New York,NY,134134071,2020,202012,1,46663,0,0,46663,50932,200866,0,200866
Netbsd Foundation,New York,NY,134134071,2019,201912,1,46514,0,0,46951,59926,205135,0,205135
Netbsd Foundation,New York,NY,134134071,2018,201812,1,39396,0,0,39849,74649,218110,0,218110
Netbsd Foundation,New York,NY,134134071,2017,201712,1,25294,0,0,27946,31911,252910,0,252910
Netbsd Foundation,New York,NY,134134071,2016,201612,1,34432,0,0,37215,27214,256875,0,256875
Netbsd Foundation,New York,NY,134134071,2015,201512,1,12589,0,0,12819,19832,246874,0,246874
Netbsd Foundation,New York,NY,134134071,2014,201412,1,32073,0,0,32182,34071,253887,0,253887
Netbsd Foundation,New York,NY,134134071,2013,201312,1,25749,0,0,25989,28876,255776,0,255776
Netbsd Foundation,New York,NY,134134071,2012,201212,1,36249,0,0,36596,6510,258663,0,258663
Netbsd Foundation,New York,NY,134134071,2011,201112,1,47970,0,0,48251,44155,228577,0,228577
Numfocus Inc,Austin,TX,454547709,2022,202212,0,6857214,2468,2427512,9289091,5744317,11998454,497308,11501146
